              -2               2             100
             -15           -0.22             100
           -1.84         -1.1068         1.65036          1.8703
           -1.84          -0.959         1.68928         1.85722
           -1.84         -0.8112         1.73741          1.8509
           -1.84         -0.6634         1.79678         1.86548
           -1.84         -0.5156         1.86984         1.93958
           -1.84         -0.3678         1.95958          2.1851
            -1.8             -15         1.45151         1.97533
            -1.8        -14.8522          1.4515         1.97517
            -1.8        -14.7044          1.4515           1.975
            -1.8        -14.5566          1.4515         1.97483
            -1.8        -14.4088          1.4515         1.97465
            -1.8         -14.261          1.4515         1.97447
            -1.8        -14.1132          1.4515         1.97429
            -1.8        -13.9654         1.45149          1.9741
            -1.8        -13.8176         1.45149         1.97391
            -1.8        -13.6698         1.45149         1.97371
            -1.8         -13.522         1.45148         1.97351
            -1.8        -13.3742         1.45148         1.97331
            -1.8        -13.2264         1.45148          1.9731
            -1.8        -13.0786         1.45147         1.97288
            -1.8        -12.9308         1.45147         1.97267
            -1.8         -12.783         1.45146         1.97244
            -1.8        -12.6352         1.45146         1.97221
            -1.8        -12.4874         1.45145         1.97198
            -1.8        -12.3396         1.45144         1.97174
            -1.8        -12.1918         1.45144         1.97149
            -1.8         -12.044         1.45143         1.97124
            -1.8        -11.8962         1.45142         1.97099
            -1.8        -11.7484         1.45141         1.97072
            -1.8        -11.6006          1.4514         1.97045
            -1.8        -11.4528         1.45138         1.97017
            -1.8         -11.305         1.45137         1.96989
            -1.8        -11.1572         1.45136         1.96959
            -1.8        -11.0094         1.45134         1.96929
            -1.8        -10.8616         1.45132         1.96898
            -1.8        -10.7138          1.4513         1.96867
            -1.8         -10.566         1.45128         1.96834
            -1.8        -10.4182         1.45126           1.968
            -1.8        -10.2704         1.45123         1.96766
            -1.8        -10.1226          1.4512          1.9673
            -1.8         -9.9748         1.45117         1.96694
            -1.8          -9.827         1.45114         1.96656
            -1.8         -9.6792          1.4511         1.96617
            -1.8         -9.5314         1.45106         1.96577
            -1.8         -9.3836         1.45102         1.96536
            -1.8         -9.2358         1.45097         1.96493
            -1.8          -9.088         1.45091         1.96449
            -1.8         -8.9402         1.45085         1.96404
            -1.8         -8.7924         1.45079         1.96357
            -1.8         -8.6446         1.45072         1.96308
            -1.8         -8.4968         1.45064         1.96258
            -1.8          -8.349         1.45055         1.96206
            -1.8         -8.2012         1.45046         1.96152
            -1.8         -8.0534         1.45036         1.96096
            -1.8         -7.9056         1.45025         1.96038
            -1.8         -7.7578         1.45013         1.95978
            -1.8           -7.61         1.44999         1.95915
            -1.8         -7.4622         1.44985          1.9585
            -1.8         -7.3144         1.44969         1.95782
            -1.8         -7.1666         1.44952         1.95712
            -1.8         -7.0188         1.44933         1.95639
            -1.8          -6.871         1.44912         1.95562
            -1.8         -6.7232          1.4489         1.95482
            -1.8         -6.5754         1.44866         1.95399
            -1.8         -6.4276          1.4484         1.95311
            -1.8         -6.2798         1.44812          1.9522
            -1.8          -6.132         1.44782         1.95124
            -1.8         -5.9842         1.44749         1.95023
            -1.8         -5.8364         1.44714         1.94918
            -1.8         -5.6886         1.44677         1.94807
            -1.8         -5.5408         1.44637          1.9469
            -1.8          -5.393         1.44594         1.94566
            -1.8         -5.2452          1.4455         1.94436
            -1.8         -5.0974         1.44503         1.94298
            -1.8         -4.9496         1.44454         1.94152
            -1.8         -4.8018         1.44404         1.93997
            -1.8          -4.654         1.44352         1.93833
            -1.8         -4.5062           1.443         1.93657
            -1.8         -4.3584         1.44249          1.9347
            -1.8         -4.2106         1.44199          1.9327
            -1.8         -4.0628         1.44153         1.93056
            -1.8          -3.915         1.44112         1.92825
            -1.8         -3.7672         1.44079         1.92577
            -1.8         -3.6194         1.44058         1.92309
            -1.8         -3.4716         1.44052         1.92019
            -1.8         -3.3238         1.44068         1.91703
            -1.8          -3.176          1.4411         1.91359
            -1.8         -3.0282         1.44189         1.90983
            -1.8         -2.8804         1.44313         1.90571
            -1.8         -2.7326         1.44494         1.90116
            -1.8         -2.5848         1.44749         1.89612
            -1.8          -2.437         1.45097         1.89053
            -1.8         -2.2892         1.45559         1.88428
            -1.8         -2.1414         1.46164         1.87728
            -1.8         -1.9936         1.46947          1.8694
            -1.8         -1.8458         1.47951          1.8605
            -1.8          -1.698         1.49225         1.85044
            -1.8         -1.5502         1.50833         1.83908
            -1.8         -1.4024         1.52852         1.82636
            -1.8         -1.2546         1.55374         1.81241
            -1.8         -1.1068         1.58513          1.7979
            -1.8          -0.959         1.62405         1.78483
            -1.8         -0.8112         1.67219         1.77851
            -1.8         -0.6634         1.73155         1.79308
            -1.8         -0.5156         1.80461         1.86718
            -1.8         -0.3678         1.89435          2.1127
           -1.76             -15         1.38771         1.90437
           -1.76        -14.8522         1.38771          1.9042
           -1.76        -14.7044         1.38771         1.90404
           -1.76        -14.5566         1.38771         1.90386
           -1.76        -14.4088          1.3877         1.90369
           -1.76         -14.261          1.3877         1.90351
           -1.76        -14.1132          1.3877         1.90332
           -1.76        -13.9654          1.3877         1.90314
           -1.76        -13.8176         1.38769         1.90294
           -1.76        -13.6698         1.38769         1.90275
           -1.76         -13.522         1.38769         1.90255
           -1.76        -13.3742         1.38769         1.90234
           -1.76        -13.2264         1.38768         1.90214
           -1.76        -13.0786         1.38768         1.90192
           -1.76        -12.9308         1.38767          1.9017
           -1.76         -12.783         1.38767         1.90148
           -1.76        -12.6352         1.38766         1.90125
           -1.76        -12.4874         1.38766         1.90102
           -1.76        -12.3396         1.38765         1.90078
           -1.76        -12.1918         1.38764         1.90053
           -1.76         -12.044         1.38763         1.90028
           -1.76        -11.8962         1.38762         1.90002
           -1.76        -11.7484         1.38761         1.89976
           -1.76        -11.6006          1.3876         1.89949
           -1.76        -11.4528         1.38759         1.89921
           -1.76         -11.305         1.38758         1.89892
           -1.76        -11.1572         1.38756         1.89863
           -1.76        -11.0094         1.38755         1.89833
           -1.76        -10.8616         1.38753         1.89802
           -1.76        -10.7138         1.38751          1.8977
           -1.76         -10.566         1.38749         1.89738
           -1.76        -10.4182         1.38746         1.89704
           -1.76        -10.2704         1.38744          1.8967
           -1.76        -10.1226         1.38741         1.89634
           -1.76         -9.9748         1.38738         1.89597
           -1.76          -9.827         1.38734          1.8956
           -1.76         -9.6792         1.38731         1.89521
           -1.76         -9.5314         1.38727         1.89481
           -1.76         -9.3836         1.38722          1.8944
           -1.76         -9.2358         1.38717         1.89397
           -1.76          -9.088         1.38712         1.89353
           -1.76         -8.9402         1.38706         1.89307
           -1.76         -8.7924         1.38699          1.8926
           -1.76         -8.6446         1.38692         1.89212
           -1.76         -8.4968         1.38684         1.89162
           -1.76          -8.349         1.38676         1.89109
           -1.76         -8.2012         1.38667         1.89056
           -1.76         -8.0534         1.38656            1.89
